"codigo_ibge_6","codigo_ibge_7","municipio","codigo_uf","sigla_uf"
110001,1100015,"Alta Floresta D'Oeste",11,"RO"
110002,1100023,"Ariquemes",11,"RO"
110003,1100031,"Cabixi",11,"RO"
110004,1100049,"Cacoal",11,"RO"
110005,1100056,"Cerejeiras",11,"RO"
110006,1100064,"Colorado do Oeste",11,"RO"
110007,1100072,"Corumbiara",11,"RO"
110008,1100080,"Costa Marques",11,"RO"
110009,1100098,"Espigão D'Oeste",11,"RO"
110010,1100106,"Guajará-Mirim",11,"RO"
110011,1100114,"Jaru",11,"RO"
110012,1100122,"Ji-Paraná",11,"RO"
110013,1100130,"Machadinho D'Oeste",11,"RO"
110014,1100148,"Nova Brasilândia D'Oeste",11,"RO"
110015,1100155,"Ouro Preto do Oeste",11,"RO"
110018,1100189,"Pimenta Bueno",11,"RO"
110020,1100205,"Porto Velho",11,"RO"
110025,1100254,"Presidente Médici",11,"RO"
110026,1100262,"Rio Crespo",11,"RO"
110028,1100288,"Rolim de Moura",11,"RO"
110029,1100296,"Santa Luzia D'Oeste",11,"RO"
110030,1100304,"Vilhena",11,"RO"
110032,1100320,"São Miguel do Guaporé",11,"RO"
110033,1100338,"Nova Mamoré",11,"RO"
110034,1100346,"Alvorada D'Oeste",11,"RO"
110037,1100379,"Alto Alegre dos Parecis",11,"RO"
110040,1100403,"Alto Paraíso",11,"RO"
110045,1100452,"Buritis",11,"RO"
110050,1100502,"Novo Horizonte do Oeste",11,"RO"
110060,1100601,"Cacaulândia",11,"RO"
110070,1100700,"Campo Novo de Rondônia",11,"RO"
110080,1100809,"Candeias do Jamari",11,"RO"
110090,1100908,"Castanheiras",11,"RO"
110092,1100924,"Chupinguaia",11,"RO"
110094,1100940,"Cujubim",11,"RO"
110100,1101005,"Governador Jorge Teixeira",11,"RO"
110110,1101104,"Itapuã do Oeste",11,"RO"
110120,1101203,"Ministro Andreazza",11,"RO"
110130,1101302,"Mirante da Serra",11,"RO"
110140,1101401,"Monte Negro",11,"RO"
110143,1101435,"Nova União",11,"RO"
110145,1101450,"Parecis",11,"RO"
110146,1101468,"Pimenteiras do Oeste",11,"RO"
110147,1101476,"Primavera de Rondônia",11,"RO"
110148,1101484,"São Felipe D'Oeste",11,"RO"
110149,1101492,"São Francisco do Guaporé",11,"RO"
110150,1101500,"Seringueiras",11,"RO"
110155,1101559,"Teixeirópolis",11,"RO"
110160,1101609,"Theobroma",11,"RO"
110170,1101708,"Urupá",11,"RO"
110175,1101757,"Vale do Anari",11,"RO"
110180,1101807,"Vale do Paraíso",11,"RO"
120001,1200013,"Acrelândia",12,"AC"
120005,1200054,"Assis Brasil",12,"AC"
120010,1200104,"Brasiléia",12,"AC"
120013,1200138,"Bujari",12,"AC"
120017,1200179,"Capixaba",12,"AC"
120020,1200203,"Cruzeiro do Sul",12,"AC"
120025,1200252,"Epitaciolândia",12,"AC"
120030,1200302,"Feijó",12,"AC"
120032,1200328,"Jordão",12,"AC"
120033,1200336,"Mâncio Lima",12,"AC"
120034,1200344,"Manoel Urbano",12,"AC"
120035,1200351,"Marechal Thaumaturgo",12,"AC"
120038,1200385,"Plácido de Castro",12,"AC"
120039,1200393,"Porto Walter",12,"AC"
120040,1200401,"Rio Branco",12,"AC"
120042,1200427,"Rodrigues Alves",12,"AC"
120043,1200435,"Santa Rosa do Purus",12,"AC"
120045,1200450,"Senador Guiomard",12,"AC"
120050,1200500,"Sena Madureira",12,"AC"
120060,1200609,"Tarauacá",12,"AC"
120070,1200708,"Xapuri",12,"AC"
120080,1200807,"Porto Acre",12,"AC"
130002,1300029,"Alvarães",13,"AM"
130006,1300060,"Amaturá",13,"AM"
130008,1300086,"Anamã",13,"AM"
130010,1300102,"Anori",13,"AM"
130014,1300144,"Apuí",13,"AM"
130020,1300201,"Atalaia do Norte",13,"AM"
130030,1300300,"Autazes",13,"AM"
130040,1300409,"Barcelos",13,"AM"
130050,1300508,"Barreirinha",13,"AM"
130060,1300607,"Benjamin Constant",13,"AM"
130063,1300631,"Beruri",13,"AM"
130068,1300680,"Boa Vista do Ramos",13,"AM"
130070,1300706,"Boca do Acre",13,"AM"
130080,1300805,"Borba",13,"AM"
130083,1300839,"Caapiranga",13,"AM"
130090,1300904,"Canutama",13,"AM"
130100,1301001,"Carauari",13,"AM"
130110,1301100,"Careiro",13,"AM"
130115,1301159,"Careiro da Várzea",13,"AM"
130120,1301209,"Coari",13,"AM"
130130,1301308,"Codajás",13,"AM"
130140,1301407,"Eirunepé",13,"AM"
130150,1301506,"Envira",13,"AM"
130160,1301605,"Fonte Boa",13,"AM"
130165,1301654,"Guajará",13,"AM"
130170,1301704,"Humaitá",13,"AM"
130180,1301803,"Ipixuna",13,"AM"
130185,1301852,"Iranduba",13,"AM"
130190,1301902,"Itacoatiara",13,"AM"
130195,1301951,"Itamarati",13,"AM"
130200,1302009,"Itapiranga",13,"AM"
130210,1302108,"Japurá",13,"AM"
130220,1302207,"Juruá",13,"AM"
130230,1302306,"Jutaí",13,"AM"
130240,1302405,"Lábrea",13,"AM"
130250,1302504,"Manacapuru",13,"AM"
130255,1302553,"Manaquiri",13,"AM"
130260,1302603,"Manaus",13,"AM"
130270,1302702,"Manicoré",13,"AM"
130280,1302801,"Maraã",13,"AM"
130290,1302900,"Maués",13,"AM"
130300,1303007,"Nhamundá",13,"AM"
130310,1303106,"Nova Olinda do Norte",13,"AM"
130320,1303205,"Novo Airão",13,"AM"
130330,1303304,"Novo Aripuanã",13,"AM"
130340,1303403,"Parintins",13,"AM"
130350,1303502,"Pauini",13,"AM"
130353,1303536,"Presidente Figueiredo",13,"AM"
130356,1303569,"Rio Preto da Eva",13,"AM"
130360,1303601,"Santa Isabel do Rio Negro",13,"AM"
130370,1303700,"Santo Antônio do Içá",13,"AM"
130380,1303809,"São Gabriel da Cachoeira",13,"AM"
130390,1303908,"São Paulo de Olivença",13,"AM"
130395,1303957,"São Sebastião do Uatumã",13,"AM"
130400,1304005,"Silves",13,"AM"
130406,1304062,"Tabatinga",13,"AM"
130410,1304104,"Tapauá",13,"AM"
130420,1304203,"Tefé",13,"AM"
130423,1304237,"Tonantins",13,"AM"
130426,1304260,"Uarini",13,"AM"
130430,1304302,"Urucará",13,"AM"
130440,1304401,"Urucurituba",13,"AM"
140002,1400027,"Amajari",14,"RR"
140005,1400050,"Alto Alegre",14,"RR"
140010,1400100,"Boa Vista",14,"RR"
140015,1400159,"Bonfim",14,"RR"
140017,1400175,"Cantá",14,"RR"
140020,1400209,"Caracaraí",14,"RR"
140023,1400233,"Caroebe",14,"RR"
140028,1400282,"Iracema",14,"RR"
140030,1400308,"Mucajaí",14,"RR"
140040,1400407,"Normandia",14,"RR"
140045,1400456,"Pacaraima",14,"RR"
140047,1400472,"Rorainópolis",14,"RR"
140050,1400506,"São João da Baliza",14,"RR"
140060,1400605,"São Luiz do Anauá",14,"RR"
140070,1400704,"Uiramutã",14,"RR"
150010,1500107,"Abaetetuba",15,"PA"
150013,1500131,"Abel Figueiredo",15,"PA"
150020,1500206,"Acará",15,"PA"
150030,1500305,"Afuá",15,"PA"
150034,1500347,"Água Azul do Norte",15,"PA"
150040,1500404,"Alenquer",15,"PA"
150050,1500503,"Almeirim",15,"PA"
150060,1500602,"Altamira",15,"PA"
150070,1500701,"Anajás",15,"PA"
150080,1500800,"Ananindeua",15,"PA"
150085,1500859,"Anapu",15,"PA"
150090,1500909,"Augusto Corrêa",15,"PA"
150095,1500958,"Aurora do Pará",15,"PA"
150100,1501006,"Aveiro",15,"PA"
150110,1501105,"Bagre",15,"PA"
150120,1501204,"Baião",15,"PA"
150125,1501253,"Bannach",15,"PA"
150130,1501303,"Barcarena",15,"PA"
150140,1501402,"Belém",15,"PA"
150145,1501451,"Belterra",15,"PA"
150150,1501501,"Benevides",15,"PA"
150157,1501576,"Bom Jesus do Tocantins",15,"PA"
150160,1501600,"Bonito",15,"PA"
150170,1501709,"Bragança",15,"PA"
150172,1501725,"Brasil Novo",15,"PA"
150175,1501758,"Brejo Grande do Araguaia",15,"PA"
150178,1501782,"Breu Branco",15,"PA"
150180,1501808,"Breves",15,"PA"
150190,1501907,"Bujaru",15,"PA"
150195,1501956,"Cachoeira do Piriá",15,"PA"
150200,1502004,"Cachoeira do Arari",15,"PA"
150210,1502103,"Cametá",15,"PA"
150215,1502152,"Canaã dos Carajás",15,"PA"
150220,1502202,"Capanema",15,"PA"
150230,1502301,"Capitão Poço",15,"PA"
150240,1502400,"Castanhal",15,"PA"
150250,1502509,"Chaves",15,"PA"
150260,1502608,"Colares",15,"PA"
150270,1502707,"Conceição do Araguaia",15,"PA"
150275,1502756,"Concórdia do Pará",15,"PA"
150276,1502764,"Cumaru do Norte",15,"PA"
150277,1502772,"Curionópolis",15,"PA"
150280,1502806,"Curralinho",15,"PA"
150285,1502855,"Curuá",15,"PA"
150290,1502905,"Curuçá",15,"PA"
150293,1502939,"Dom Eliseu",15,"PA"
150295,1502954,"Eldorado do Carajás",15,"PA"
150300,1503002,"Faro",15,"PA"
150304,1503044,"Floresta do Araguaia",15,"PA"
150307,1503077,"Garrafão do Norte",15,"PA"
150309,1503093,"Goianésia do Pará",15,"PA"
150310,1503101,"Gurupá",15,"PA"
150320,1503200,"Igarapé-Açu",15,"PA"
150330,1503309,"Igarapé-Miri",15,"PA"
150340,1503408,"Inhangapi",15,"PA"
150345,1503457,"Ipixuna do Pará",15,"PA"
150350,1503507,"Irituia",15,"PA"
150360,1503606,"Itaituba",15,"PA"
150370,1503705,"Itupiranga",15,"PA"
150375,1503754,"Jacareacanga",15,"PA"
150380,1503804,"Jacundá",15,"PA"
150390,1503903,"Juruti",15,"PA"
150400,1504000,"Limoeiro do Ajuru",15,"PA"
150405,1504059,"Mãe do Rio",15,"PA"
150410,1504109,"Magalhães Barata",15,"PA"
150420,1504208,"Marabá",15,"PA"
150430,1504307,"Maracanã",15,"PA"
150440,1504406,"Marapanim",15,"PA"
150442,1504422,"Marituba",15,"PA"
150445,1504455,"Medicilândia",15,"PA"
150450,1504505,"Melgaço",15,"PA"
150460,1504604,"Mocajuba",15,"PA"
150470,1504703,"Moju",15,"PA"
150475,1504752,"Mojuí dos Campos",15,"PA"
150480,1504802,"Monte Alegre",15,"PA"
150490,1504901,"Muaná",15,"PA"
150495,1504950,"Nova Esperança do Piriá",15,"PA"
150497,1504976,"Nova Ipixuna",15,"PA"
150500,1505007,"Nova Timboteua",15,"PA"
150503,1505031,"Novo Progresso",15,"PA"
150506,1505064,"Novo Repartimento",15,"PA"
150510,1505106,"Óbidos",15,"PA"
150520,1505205,"Oeiras do Pará",15,"PA"
150530,1505304,"Oriximiná",15,"PA"
150540,1505403,"Ourém",15,"PA"
150543,1505437,"Ourilândia do Norte",15,"PA"
150548,1505486,"Pacajá",15,"PA"
150549,1505494,"Palestina do Pará",15,"PA"
150550,1505502,"Paragominas",15,"PA"
150553,1505536,"Parauapebas",15,"PA"
150555,1505551,"Pau D'Arco",15,"PA"
150560,1505601,"Peixe-Boi",15,"PA"
150563,1505635,"Piçarra",15,"PA"
150565,1505650,"Placas",15,"PA"
150570,1505700,"Ponta de Pedras",15,"PA"
150580,1505809,"Portel",15,"PA"
150590,1505908,"Porto de Moz",15,"PA"
150600,1506005,"Prainha",15,"PA"
150610,1506104,"Primavera",15,"PA"
150611,1506112,"Quatipuru",15,"PA"
150613,1506138,"Redenção",15,"PA"
150616,1506161,"Rio Maria",15,"PA"
150618,1506187,"Rondon do Pará",15,"PA"
150619,1506195,"Rurópolis",15,"PA"
150620,1506203,"Salinópolis",15,"PA"
150630,1506302,"Salvaterra",15,"PA"
150635,1506351,"Santa Bárbara do Pará",15,"PA"
150640,1506401,"Santa Cruz do Arari",15,"PA"
150650,1506500,"Santa Izabel do Pará",15,"PA"
150655,1506559,"Santa Luzia do Pará",15,"PA"
150658,1506583,"Santa Maria das Barreiras",15,"PA"
150660,1506609,"Santa Maria do Pará",15,"PA"
150670,1506708,"Santana do Araguaia",15,"PA"
150680,1506807,"Santarém",15,"PA"
150690,1506906,"Santarém Novo",15,"PA"
150700,1507003,"Santo Antônio do Tauá",15,"PA"
150710,1507102,"São Caetano de Odivelas",15,"PA"
150715,1507151,"São Domingos do Araguaia",15,"PA"
150720,1507201,"São Domingos do Capim",15,"PA"
150730,1507300,"São Félix do Xingu",15,"PA"
150740,1507409,"São Francisco do Pará",15,"PA"
150745,1507458,"São Geraldo do Araguaia",15,"PA"
150746,1507466,"São João da Ponta",15,"PA"
150747,1507474,"São João de Pirabas",15,"PA"
150750,1507508,"São João do Araguaia",15,"PA"
150760,1507607,"São Miguel do Guamá",15,"PA"
150770,1507706,"São Sebastião da Boa Vista",15,"PA"
150775,1507755,"Sapucaia",15,"PA"
150780,1507805,"Senador José Porfírio",15,"PA"
150790,1507904,"Soure",15,"PA"
150795,1507953,"Tailândia",15,"PA"
150796,1507961,"Terra Alta",15,"PA"
150797,1507979,"Terra Santa",15,"PA"
150800,1508001,"Tomé-Açu",15,"PA"
150803,1508035,"Tracuateua",15,"PA"
150805,1508050,"Trairão",15,"PA"
150808,1508084,"Tucumã",15,"PA"
150810,1508100,"Tucuruí",15,"PA"
150812,1508126,"Ulianópolis",15,"PA"
150815,1508159,"Uruará",15,"PA"
150820,1508209,"Vigia",15,"PA"
150830,1508308,"Viseu",15,"PA"
150835,1508357,"Vitória do Xingu",15,"PA"
150840,1508407,"Xinguara",15,"PA"
160005,1600055,"Serra do Navio",16,"AP"
160010,1600105,"Amapá",16,"AP"
160015,1600154,"Pedra Branca do Amapari",16,"AP"
160020,1600204,"Calçoene",16,"AP"
160021,1600212,"Cutias",16,"AP"
160023,1600238,"Ferreira Gomes",16,"AP"
160025,1600253,"Itaubal",16,"AP"
160027,1600279,"Laranjal do Jari",16,"AP"
160030,1600303,"Macapá",16,"AP"
160040,1600402,"Mazagão",16,"AP"
160050,1600501,"Oiapoque",16,"AP"
160053,1600535,"Porto Grande",16,"AP"
160055,1600550,"Pracuúba",16,"AP"
160060,1600600,"Santana",16,"AP"
160070,1600709,"Tartarugalzinho",16,"AP"
160080,1600808,"Vitória do Jari",16,"AP"
170025,1700251,"Abreulândia",17,"TO"
170030,1700301,"Aguiarnópolis",17,"TO"
170035,1700350,"Aliança do Tocantins",17,"TO"
170040,1700400,"Almas",17,"TO"
170070,1700707,"Alvorada",17,"TO"
170100,1701002,"Ananás",17,"TO"
170105,1701051,"Angico",17,"TO"
170110,1701101,"Aparecida do Rio Negro",17,"TO"
170130,1701309,"Aragominas",17,"TO"
170190,1701903,"Araguacema",17,"TO"
170200,1702000,"Araguaçu",17,"TO"
170210,1702109,"Araguaína",17,"TO"
170215,1702158,"Araguanã",17,"TO"
170220,1702208,"Araguatins",17,"TO"
170230,1702307,"Arapoema",17,"TO"
170240,1702406,"Arraias",17,"TO"
170255,1702554,"Augustinópolis",17,"TO"
170270,1702703,"Aurora do Tocantins",17,"TO"
170290,1702901,"Axixá do Tocantins",17,"TO"
170300,1703008,"Babaçulândia",17,"TO"
170305,1703057,"Bandeirantes do Tocantins",17,"TO"
170307,1703073,"Barra do Ouro",17,"TO"
170310,1703107,"Barrolândia",17,"TO"
170320,1703206,"Bernardo Sayão",17,"TO"
170330,1703305,"Bom Jesus do Tocantins",17,"TO"
170360,1703602,"Brasilândia do Tocantins",17,"TO"
170370,1703701,"Brejinho de Nazaré",17,"TO"
170380,1703800,"Buriti do Tocantins",17,"TO"
170382,1703826,"Cachoeirinha",17,"TO"
170384,1703842,"Campos Lindos",17,"TO"
170386,1703867,"Cariri do Tocantins",17,"TO"
170388,1703883,"Carmolândia",17,"TO"
170389,1703891,"Carrasco Bonito",17,"TO"
170390,1703909,"Caseara",17,"TO"
170410,1704105,"Centenário",17,"TO"
170460,1704600,"Chapada de Areia",17,"TO"
170510,1705102,"Chapada da Natividade",17,"TO"
170550,1705508,"Colinas do Tocantins",17,"TO"
170555,1705557,"Combinado",17,"TO"
170560,1705607,"Conceição do Tocantins",17,"TO"
170600,1706001,"Couto Magalhães",17,"TO"
170610,1706100,"Cristalândia",17,"TO"
170625,1706258,"Crixás do Tocantins",17,"TO"
170650,1706506,"Darcinópolis",17,"TO"
170700,1707009,"Dianópolis",17,"TO"
170710,1707108,"Divinópolis do Tocantins",17,"TO"
170720,1707207,"Dois Irmãos do Tocantins",17,"TO"
170730,1707306,"Dueré",17,"TO"
170740,1707405,"Esperantina",17,"TO"
170755,1707553,"Fátima",17,"TO"
170765,1707652,"Figueirópolis",17,"TO"
170770,1707702,"Filadélfia",17,"TO"
170820,1708205,"Formoso do Araguaia",17,"TO"
170825,1708254,"Tabocão",17,"TO"
170830,1708304,"Goianorte",17,"TO"
170900,1709005,"Goiatins",17,"TO"
170930,1709302,"Guaraí",17,"TO"
170950,1709500,"Gurupi",17,"TO"
170980,1709807,"Ipueiras",17,"TO"
171050,1710508,"Itacajá",17,"TO"
171070,1710706,"Itaguatins",17,"TO"
171090,1710904,"Itapiratins",17,"TO"
171110,1711100,"Itaporã do Tocantins",17,"TO"
171150,1711506,"Jaú do Tocantins",17,"TO"
171180,1711803,"Juarina",17,"TO"
171190,1711902,"Lagoa da Confusão",17,"TO"
171195,1711951,"Lagoa do Tocantins",17,"TO"
171200,1712009,"Lajeado",17,"TO"
171215,1712157,"Lavandeira",17,"TO"
171240,1712405,"Lizarda",17,"TO"
171245,1712454,"Luzinópolis",17,"TO"
171250,1712504,"Marianópolis do Tocantins",17,"TO"
171270,1712702,"Mateiros",17,"TO"
171280,1712801,"Maurilândia do Tocantins",17,"TO"
171320,1713205,"Miracema do Tocantins",17,"TO"
171330,1713304,"Miranorte",17,"TO"
171360,1713601,"Monte do Carmo",17,"TO"
171370,1713700,"Monte Santo do Tocantins",17,"TO"
171380,1713809,"Palmeiras do Tocantins",17,"TO"
171395,1713957,"Muricilândia",17,"TO"
171420,1714203,"Natividade",17,"TO"
171430,1714302,"Nazaré",17,"TO"
171488,1714880,"Nova Olinda",17,"TO"
171500,1715002,"Nova Rosalândia",17,"TO"
171510,1715101,"Novo Acordo",17,"TO"
171515,1715150,"Novo Alegre",17,"TO"
171525,1715259,"Novo Jardim",17,"TO"
171550,1715507,"Oliveira de Fátima",17,"TO"
171570,1715705,"Palmeirante",17,"TO"
171575,1715754,"Palmeirópolis",17,"TO"
171610,1716109,"Paraíso do Tocantins",17,"TO"
171620,1716208,"Paranã",17,"TO"
171630,1716307,"Pau D'Arco",17,"TO"
171650,1716505,"Pedro Afonso",17,"TO"
171660,1716604,"Peixe",17,"TO"
171665,1716653,"Pequizeiro",17,"TO"
171670,1716703,"Colméia",17,"TO"
171700,1717008,"Pindorama do Tocantins",17,"TO"
171720,1717206,"Piraquê",17,"TO"
171750,1717503,"Pium",17,"TO"
171780,1717800,"Ponte Alta do Bom Jesus",17,"TO"
171790,1717909,"Ponte Alta do Tocantins",17,"TO"
171800,1718006,"Porto Alegre do Tocantins",17,"TO"
171820,1718204,"Porto Nacional",17,"TO"
